pref_code,facility_code,map_type,map_name,standard_name,standard_address,in_equipment_master,CT_confirmed_detail,MRI_confirmed_detail,CT_detail_classes,MRI_detail_classes,standard_latest_start_date,detail_status
16,0115485,無床診療所,佐伯クリニック,佐伯クリニック,富山市栃谷２００ー２,False,True,False,16-63列CT,,平成24年 8月 1日,CT確認・MRI未確認
16,0116723,無床診療所,富山県健康増進センター,富山県健康増進センター,富山市蜷川３７３番地,False,True,False,16-63列CT,,令和 5年 3月 1日,CT確認・MRI未確認
16,0117499,無床診療所,富山市医師会健康管理センター,富山市医師会健康管理センター,富山市経堂４丁目１－３６,False,True,True,16-63列CT,1.5-3T MRI,平成29年 6月 1日,CT+MRI確認
16,0117523,無床診療所,吉田内科クリニック,吉田内科クリニック,富山市吉作３５５,False,True,False,16-63列CT,,平成25年 4月 1日,CT確認・MRI未確認
16,0117663,無床診療所,豊田魚津クリニック,豊田魚津クリニック,富山市豊田４６３－１,False,True,False,16-63列CT,,平成27年 3月 1日,CT確認・MRI未確認
16,0117903,無床診療所,さくらニューロクリニック,さくらニューロクリニック,富山市下新本町３－６,False,False,True,,1.5-3T MRI,令和元年10月 1日,MRI確認・CT未確認
16,0118000,無床診療所,医療法人社団 長森興南クリニック,医療法人社団　長森興南クリニック,富山市蜷川１１番地４,False,True,False,16-63列CT,,平成26年 9月 1日,CT確認・MRI未確認
16,0118166,無床診療所,アルペン室谷クリニック,アルペン室谷クリニック,富山市東岩瀬町２７５番地,False,True,False,16-63列CT,,平成25年 6月 1日,CT確認・MRI未確認
16,0118216,無床診療所,はやしクリニック,はやしクリニック,富山市金屋（４区）３８２７－７,False,True,False,16-63列CT,,平成27年 9月 1日,CT確認・MRI未確認
16,0118299,無床診療所,塚本脳神経外科医院,塚本脳神経外科医院,富山市住吉町１丁目５番,False,False,True,,1.5-3T MRI,平成28年10月 1日,MRI確認・CT未確認
16,0118315,無床診療所,ほおのき医院,ほおのき医院,富山市上赤江町２丁目１番３０号,False,False,True,,1.5-3T MRI,令和 5年 6月 1日,MRI確認・CT未確認
16,0118539,無床診療所,整形外科センター西能クリニック,整形外科センター西能クリニック,富山市高田７１番地１,False,True,True,16-63列CT,1.5-3T MRI,令和 7年 4月 1日,CT+MRI確認
16,0118851,無床診療所,前川クリニック,前川クリニック,富山市石坂２０２６番地１,False,True,False,16-63列CT,,平成26年11月 1日,CT確認・MRI未確認
16,0119313,無床診療所,北陸予防医学協会とやま健診プラザ,北陸予防医学協会とやま健診プラザ,富山市千代田町２－１,False,True,True,16-63列CT,1.5-3T MRI,平成30年 7月 1日,CT+MRI確認
16,0119701,無床診療所,いき内科クリニック,いき内科クリニック,富山市呉羽町６３０２－８,False,True,False,16-63列CT,,令和 3年 4月 1日,CT確認・MRI未確認
16,0120048,無床診療所,八尾クリニック,八尾クリニック,富山市八尾町福島７－４２,False,True,False,16-63列CT,,令和 6年 3月 1日,CT確認・MRI未確認
16,0120139,無床診療所,ふじのき内科クリニック,ふじのき内科クリニック,富山市町新４７,False,True,False,16-63列CT,,令和 7年 3月 1日,CT確認・MRI未確認
16,0212829,無床診療所,沼内科医院,沼内科医院,高岡市野村１３３１,False,True,False,16-63列CT,,平成29年 9月 1日,CT確認・MRI未確認
16,0213082,無床診療所,林内科医院,林内科医院,高岡市中島町３－１７,False,True,False,4-15列CT,,平成25年10月 1日,CT確認・MRI未確認
16,0213165,無床診療所,斉藤外科小児科クリニック,斉藤外科小児科クリニック,高岡市野村７９９番地,False,True,False,16-63列CT,,平成26年 6月 1日,CT確認・MRI未確認
16,0213231,無床診療所,泉脳神経外科医院,泉脳神経外科医院,高岡市駅南４丁目９－１６,False,True,False,4-15列CT,,平成26年12月 1日,CT確認・MRI未確認
16,0213512,無床診療所,藤田内科クリニック,藤田内科クリニック,高岡市瑞穂町４－２５,False,True,False,16-63列CT,,平成28年 6月 1日,CT確認・MRI未確認
16,0213843,無床診療所,北陸予防医学協会高岡総合健診センター,北陸予防医学協会高岡総合健診センター,高岡市金屋本町１－３,False,True,False,16-63列CT,,令和 8年 1月 1日,CT確認・MRI未確認
16,0214106,無床診療所,赤祖父 どいクリニック,赤祖父　どいクリニック,高岡市赤祖父５９３－１,False,True,False,16-63列CT,,令和 8年 7月 1日,CT確認・MRI未確認
16,0214221,無床診療所,こいで内科脳神経クリニック,こいで内科脳神経クリニック,高岡市佐野１２３８－１,False,True,False,16-63列CT,,平成30年11月 1日,CT確認・MRI未確認
16,0410811,無床診療所,吉島内科クリニック,吉島内科クリニック,魚津市吉島７５０－２,False,True,False,16-63列CT,,平成26年 8月 1日,CT確認・MRI未確認
16,0410936,無床診療所,浦田クリニック,浦田クリニック,魚津市本江１－２６,False,True,False,16-63列CT,,平成24年 4月 1日,CT確認・MRI未確認
16,1910686,無床診療所,富川クリニック,富川クリニック,射水市南太閤山３丁目１番地の１５,False,True,False,16-63列CT,,平成24年 4月 1日,CT確認・MRI未確認
16,1910918,無床診療所,佐野内科クリニック,佐野内科クリニック,射水市黒河新４８０８,False,True,False,16-63列CT,,令和 2年10月 1日,CT確認・MRI未確認
16,1911148,無床診療所,木戸クリニック,木戸クリニック,射水市朴木２４４,False,True,False,4-15列CT,,平成30年10月 1日,CT確認・MRI未確認
16,1911155,無床診療所,中新湊内科クリニック,中新湊内科クリニック,射水市中新湊７－１９,False,True,False,16-63列CT,,平成30年 2月 1日,CT確認・MRI未確認
16,1911163,無床診療所,矢野医院,矢野医院,射水市本町１丁目１３番１号,False,True,False,16-63列CT,,平成29年11月 1日,CT確認・MRI未確認
16,1911312,無床診療所,赤江クリニック,赤江クリニック,射水市堀岡３１０番地,False,False,True,,1.5-3T MRI,平成25年 5月 1日,MRI確認・CT未確認
16,1911437,無床診療所,医療法人社団 北林クリニック,医療法人社団　北林クリニック,射水市戸破字加茂１７０４番地１,False,True,False,16-63列CT,,令和 7年 4月 1日,CT確認・MRI未確認
16,1911528,無床診療所,医療法人社団 尾島クリニック,医療法人社団　尾島クリニック,射水市桜町１６－１８,False,True,False,4-15列CT,,令和 8年 8月 1日,CT確認・MRI未確認
16,2010833,無床診療所,南砺家庭・地域医療センター,南砺家庭・地域医療センター,南砺市松原５７７番地,False,True,False,4-15列CT,,平成28年 1月 1日,CT確認・MRI未確認
17,0114073,無床診療所,一般財団法人石川県予防医学協会 予防医学クリニック,一般財団法人石川県予防医学協会　予防医学クリニック,金沢市神野町東１１５番地,False,True,False,16-63列CT / 4-15列CT,,令和 8年 5月 1日,CT確認・MRI未確認
17,0115450,無床診療所,横浜外科整形外科医院,横浜外科整形外科医院,金沢市小坂町北１９５番地２,False,True,False,16-63列CT,,令和 6年 4月 1日,CT確認・MRI未確認
17,0116094,無床診療所,山本脳神経外科医院,山本脳神経外科医院,金沢市玉川町１０番２２号,False,True,True,16-63列CT,1.5-3T MRI,平成27年 7月 1日,CT+MRI確認
17,0116680,無床診療所,土原医院,土原医院,金沢市大樋町８番１号,False,True,False,16-63列CT,,平成25年 6月 1日,CT確認・MRI未確認
17,0116821,無床診療所,いしぐろ脳神経・整形外科クリニック,いしぐろ脳神経・整形外科クリニック,金沢市窪４丁目５１５番地,False,True,True,16-63列CT,1.5-3T MRI,令和 6年 8月 1日,CT+MRI確認
17,0117126,無床診療所,福島医院,福島医院,金沢市円光寺２丁目５番２０号,False,True,False,16-63列CT,,平成29年 9月 1日,CT確認・MRI未確認
17,0119791,無床診療所,上荒屋クリニック,上荒屋クリニック,金沢市上荒屋１－７９,False,True,False,16-63列CT,,平成27年 9月 1日,CT確認・MRI未確認
17,0119890,無床診療所,金沢春日クリニック,金沢春日クリニック,金沢市元菊町２０番１号,False,True,False,16-63列CT,,平成26年11月 1日,CT確認・MRI未確認
17,0120187,無床診療所,金沢メディカルステーション ヴィーク,金沢メディカルステーション　ヴィーク,金沢市木ノ新保町１番１号金沢駅西口ビル４Ｆ,False,True,False,16-63列CT,,令和 2年 8月 1日,CT確認・MRI未確認
17,0121243,無床診療所,池野内科クリニック,池野内科クリニック,金沢市高柳町１の１２番地１,False,True,False,16-63列CT,,平成27年 4月 1日,CT確認・MRI未確認
17,0121342,無床診療所,むねとおなか伊藤醫院,むねとおなか伊藤醫院,金沢市窪４丁目５２５番地,False,True,False,16-63列CT,,平成28年 6月 1日,CT確認・MRI未確認
17,0121722,無床診療所,こしの内科クリニック,こしの内科クリニック,金沢市朝霧台１丁目１７６番,False,True,False,16-63列CT,,令和 7年 7月 1日,CT確認・MRI未確認
17,0122449,無床診療所,えぐち内科,えぐち内科,金沢市鳴和１丁目２０番１１号,False,True,False,16-63列CT,,令和 4年 6月 1日,CT確認・MRI未確認
17,0122571,無床診療所,スコール金沢 健診ステーション,スコール金沢　健診ステーション,金沢市広岡３丁目３番７０号,False,True,True,16-63列CT,1.5-3T MRI,令和 5年 9月 1日,CT+MRI確認
17,0122746,無床診療所,金沢消化器内科・内視鏡クリニック 金沢駅前院,金沢消化器内科・内視鏡クリニック　金沢駅前院,金沢市本町一丁目６番１号　１階,False,True,False,16-63列CT,,令和 6年 9月 1日,CT確認・MRI未確認
17,0123173,無床診療所,いりたに内科かかりつけクリニック,いりたに内科かかりつけクリニック,金沢市上安原２丁目１９６番地,False,True,False,16-63列CT,,令和 8年 5月 1日,CT確認・MRI未確認
17,0123181,無床診療所,もりのさと整形外科クリニック,もりのさと整形外科クリニック,金沢市もりの里二丁目２１０番地,False,False,True,,1.5-3T MRI,令和 8年 6月 1日,MRI確認・CT未確認
17,0123207,無床診療所,たが整形外科クリニック,たが整形外科クリニック,金沢市元町２丁目２０番２３号,False,False,True,,1.5-3T MRI,令和 8年 8月 1日,MRI確認・CT未確認
17,0211374,無床診療所,口医院,口医院,七尾市中島町浜田壱２７番地,False,True,False,16-63列CT,,令和 2年 9月 1日,CT確認・MRI未確認
17,0311729,無床診療所,まだら園クリニック,まだら園クリニック,小松市福乃宮町２丁目１３０番地,False,True,False,4-15列CT,,平成28年 1月 1日,CT確認・MRI未確認
17,0311810,無床診療所,医療法人社団 中川外科医院,医療法人社団　中川外科医院,小松市向本折町マ５５番地,False,True,False,16-63列CT,,令和 4年 9月 1日,CT確認・MRI未確認
17,0410448,無床診療所,医療法人社団きのした きのしたクリニック,医療法人社団きのした　きのしたクリニック,輪島市釜屋谷町３字５番地,False,True,False,16-63列CT,,平成27年 6月 1日,CT確認・MRI未確認
17,0611243,無床診療所,宮本医院,宮本医院,加賀市山代温泉桔梗丘２丁目１８番地,False,True,False,4-15列CT,,平成26年10月 1日,CT確認・MRI未確認
17,0611417,無床診療所,山中温泉ぬくもり診療所,山中温泉ぬくもり診療所,加賀市山中温泉上野町ル１５番地１,False,True,False,4-15列CT,,平成28年12月 1日,CT確認・MRI未確認
17,0710607,無床診療所,ひきしまクリニック,ひきしまクリニック,羽咋市旭町ア４５,False,True,False,16-63列CT,,令和 4年 4月 1日,CT確認・MRI未確認
17,0710706,無床診療所,すこやか整形外科医院,すこやか整形外科医院,羽咋市石野町イ６１番１,False,False,True,,1.5-3T MRI,令和 8年 5月 1日,MRI確認・CT未確認
17,1311793,無床診療所,金沢消化器内科・内視鏡クリニック野々市中央院,金沢消化器内科・内視鏡クリニック野々市中央院,野々市市白山町４３８番地,False,True,False,16-63列CT,,令和 6年 9月 1日,CT確認・MRI未確認
17,1311801,無床診療所,ののいちメディカルクリニック,ののいちメディカルクリニック,野々市市矢作４丁目４２番地１の３,False,True,True,16-63列CT,1.5-3T MRI,令和 7年11月 1日,CT+MRI確認
17,1710655,無床診療所,社会医療法人財団董仙会 恵寿鳩ヶ丘クリニック,社会医療法人財団董仙会　恵寿鳩ヶ丘クリニック,鳳珠郡穴水町字麦ケ浦１５、３９番８,False,True,False,16-63列CT / 4-15列CT,,令和 7年 1月 1日,CT確認・MRI未確認
17,2110293,無床診療所,おきの内科医院,おきの内科医院,かほく市遠塚ロ５４番地９,False,True,False,16-63列CT,,平成30年 1月 1日,CT確認・MRI未確認
17,2210846,無床診療所,福留クリニック,福留クリニック,白山市福留町１７９番１,False,True,False,16-63列CT,,平成27年 6月 1日,CT確認・MRI未確認
21,0106677,無床診療所,あんどう内科クリニック,あんどう内科クリニック,岐阜市東駒爪町５,False,True,False,16-63列CT,,平成29年 3月 1日,CT確認・MRI未確認
21,0106727,無床診療所,杉浦内科,杉浦内科,岐阜市加納東丸町２－１８,False,True,False,16-63列CT,,令和元年 5月 1日,CT確認・MRI未確認
21,0107808,無床診療所,くらまえ診療所,くらまえ診療所,岐阜市蔵前７－１１－３,False,True,False,16-63列CT,,令和 6年 9月 1日,CT確認・MRI未確認
21,0108228,無床診療所,加納内科クリニック,加納内科クリニック,岐阜市加納寿町２－７,False,True,False,16-63列CT,,令和 5年 5月 1日,CT確認・MRI未確認
21,0108368,無床診療所,新美クリニック,新美クリニック,岐阜市都通１－６,False,True,False,16-63列CT,,平成27年10月 1日,CT確認・MRI未確認
21,0108814,無床診療所,医療法人社団正芳会 細野医院,医療法人社団正芳会　細野医院,岐阜市福光西３－９－１３,False,True,False,16-63列CT,,平成30年 4月 1日,CT確認・MRI未確認
21,0108897,無床診療所,森田整形外科,森田整形外科,岐阜市芥見３－３１４,False,True,False,16-63列CT,,平成30年 3月 1日,CT確認・MRI未確認
21,0109499,無床診療所,たけだ内科クリニック,たけだ内科クリニック,岐阜市岩滝西３－７５,False,True,False,16-63列CT,,平成30年 7月 1日,CT確認・MRI未確認
21,0109564,無床診療所,かとう泌尿器科・内科クリニック,かとう泌尿器科・内科クリニック,岐阜市長住町９－１８,False,True,False,16-63列CT,,令和 8年 1月 1日,CT確認・MRI未確認
21,0109838,無床診療所,はやし内科クリニック,はやし内科クリニック,岐阜市領下６－２５－１,False,True,False,16-63列CT,,平成28年 4月 1日,CT確認・MRI未確認
21,0109853,無床診療所,なかたにクリニック,なかたにクリニック,岐阜市琴塚２－７－１６,False,True,False,16-63列CT,,平成25年 9月 1日,CT確認・MRI未確認
21,0110000,無床診療所,加藤脳神経外科クリニック,加藤脳神経外科クリニック,岐阜市長住町９－１８,False,True,False,16-63列CT,,令和 8年 1月 1日,CT確認・MRI未確認
21,0110745,無床診療所,ＭＩＷＡ内科胃腸内科・内視鏡ＣＬＩＮＩＣ,ＭＩＷＡ内科胃腸内科・内視鏡ＣＬＩＮＩＣ,岐阜市長良東３－３,False,True,False,16-63列CT,,令和 2年 4月 1日,CT確認・MRI未確認
21,0110935,無床診療所,医療法人和光会 山田メディカルクリニック,医療法人和光会　山田メディカルクリニック,岐阜市東金宝町１－１２,False,True,False,16-63列CT,,平成28年 9月 1日,CT確認・MRI未確認
21,0110976,無床診療所,おのぎクリニック,おのぎクリニック,岐阜市萱場南２－１２－１７,False,True,False,16-63列CT,,令和 2年12月 1日,CT確認・MRI未確認
21,0111552,無床診療所,一般社団法人ぎふ綜合健診センター,一般社団法人ぎふ綜合健診センター,岐阜市日置江４－４７,False,True,False,16-63列CT,,令和 8年 8月 1日,CT確認・MRI未確認
21,0111651,無床診療所,さごうクリニック,さごうクリニック,岐阜市下川手７４７,False,True,False,4-15列CT,,平成24年 8月 1日,CT確認・MRI未確認
21,0112014,無床診療所,いまいずみクリニック,いまいずみクリニック,岐阜市早田栄町４丁目２３番地,False,True,False,16-63列CT,,平成28年11月 1日,CT確認・MRI未確認
21,0112444,無床診療所,大野整形外科クリニック,大野整形外科クリニック,岐阜市則武西一丁目２０番５,False,True,True,16-63列CT,1.5-3T MRI,令和 5年 6月 1日,CT+MRI確認
21,0112675,無床診療所,岐阜なかの内科・内視鏡クリニック,岐阜なかの内科・内視鏡クリニック,岐阜市柳津町丸野３－３－６　カラフルタウン岐阜１Ｆ,False,True,False,16-63列CT,,令和 2年10月 1日,CT確認・MRI未確認
21,0112683,無床診療所,えんや内科・糖尿病クリニック,えんや内科・糖尿病クリニック,岐阜市茜部新所三丁目１６１－１,False,True,False,16-63列CT,,令和 2年10月 1日,CT確認・MRI未確認
21,0112717,無床診療所,なかうずらクリニック,なかうずらクリニック,岐阜市中鶉７丁目７２－１,False,True,False,16-63列CT,,令和 2年11月 1日,CT確認・MRI未確認
21,0112832,無床診療所,くわたクリニック,くわたクリニック,岐阜市鷺山東一丁目２１番１１,False,True,False,16-63列CT,,令和 3年 8月 1日,CT確認・MRI未確認
21,0113103,無床診療所,川出内科クリニック,川出内科クリニック,岐阜市太郎丸新屋敷２０５番地２,False,True,False,16-63列CT,,令和 6年12月 1日,CT確認・MRI未確認
21,0113111,無床診療所,関谷内科外科クリニック,関谷内科外科クリニック,岐阜市北島１丁目７番２４号,False,True,False,16-63列CT,,令和 5年 1月25日,CT確認・MRI未確認
21,0113194,無床診療所,にしぎふ整形外科リハビリクリニック,にしぎふ整形外科リハビリクリニック,岐阜市西荘４丁目６番７号,False,True,False,16-63列CT,,令和 6年 3月 1日,CT確認・MRI未確認
21,0113301,無床診療所,ぎふ頭痛 脳神経クリニック,ぎふ頭痛　脳神経クリニック,岐阜市北島３丁目２－１,False,False,True,,1.5-3T MRI,令和 6年11月 1日,MRI確認・CT未確認
21,0113343,無床診療所,いわい整形外科 脊椎とリハビリのクリニック,いわい整形外科　脊椎とリハビリのクリニック,岐阜市六条南３丁目１２番１,False,True,False,16-63列CT,,令和 7年 6月 1日,CT確認・MRI未確認
21,0113582,無床診療所,いちはしメディカルクリニック,いちはしメディカルクリニック,岐阜市市橋３丁目４番２６号,False,True,False,16-63列CT,,令和 8年 6月 1日,CT確認・MRI未確認
21,0113657,無床診療所,みどりファミリークリニック,みどりファミリークリニック,岐阜市千石町二丁目２２番地　２階,False,True,False,16-63列CT,,令和 8年 7月 1日,CT確認・MRI未確認
21,0113665,無床診療所,谷村クリニック,谷村クリニック,岐阜市中西郷四丁目６７番地１,False,True,False,16-63列CT,,令和 8年 5月 1日,CT確認・MRI未確認
21,0201064,無床診療所,早川医院,早川医院,関市元重町２９,False,True,False,4-15列CT,,平成27年 3月 1日,CT確認・MRI未確認
21,0201122,無床診療所,平岡医院,平岡医院,関市武芸川町谷口８３４,False,True,False,16-63列CT,,平成25年 6月 1日,CT確認・MRI未確認
21,0201395,無床診療所,さわやか内科クリニック,さわやか内科クリニック,関市山田８２３－１,False,True,False,16-63列CT,,平成28年10月 1日,CT確認・MRI未確認
21,0201411,無床診療所,臼井ハツラツクリニック,臼井ハツラツクリニック,関市鋳物師屋６－１１－７,False,True,False,16-63列CT,,平成29年10月 1日,CT確認・MRI未確認
21,0501695,無床診療所,村井医院,村井医院,各務原市緑苑中２－９３,False,True,False,16-63列CT,,令和元年10月 1日,CT確認・MRI未確認
21,0501703,無床診療所,いでぐち医院,いでぐち医院,各務原市鵜沼東町２－１－１,False,True,False,16-63列CT,,令和 4年10月 1日,CT確認・MRI未確認
21,0501752,無床診療所,永井内科消化器科,永井内科消化器科,各務原市那加桜町３－２８２,False,True,False,16-63列CT / 4-15列CT,,令和 6年 4月 1日,CT確認・MRI未確認
21,0501786,無床診療所,酒井クリニック,酒井クリニック,各務原市蘇原柿沢町１－４７,False,True,False,16-63列CT,,令和 6年 2月 1日,CT確認・MRI未確認
21,0501851,無床診療所,医療法人社団恒仁会 田中クリニック,医療法人社団恒仁会　田中クリニック,各務原市那加前洞新町４－１８１－１,False,True,False,16-63列CT,,平成30年 8月 1日,CT確認・MRI未確認
21,0501968,無床診療所,佐々木クリニック,佐々木クリニック,各務原市那加西市場町７－２８５－５,False,True,False,16-63列CT,,平成28年10月 1日,CT確認・MRI未確認
21,0502107,無床診療所,そはら永田クリニック,そはら永田クリニック,各務原市蘇原外山町２－７１－１,False,True,False,16-63列CT,,令和元年10月 1日,CT確認・MRI未確認
21,0502560,無床診療所,ひろせ腎・泌尿器科クリニック,ひろせ腎・泌尿器科クリニック,各務原市那加西浦町３丁目５１番地,False,True,False,16-63列CT,,平成29年 7月 1日,CT確認・MRI未確認
21,0502636,無床診療所,あちわ内科胃腸科,あちわ内科胃腸科,各務原市鵜沼東町一丁目１１３,False,True,False,16-63列CT,,令和元年 9月17日,CT確認・MRI未確認
21,0502719,無床診療所,なかハートクリニック,なかハートクリニック,各務原市那加前野町三丁目１６７番地の１,False,True,False,16-63列CT,,令和 2年 9月 1日,CT確認・MRI未確認
21,0502768,無床診療所,二宮医院,二宮医院,各務原市三井町三丁目３番１,False,True,False,16-63列CT,,令和 3年 6月 1日,CT確認・MRI未確認
21,0502776,無床診療所,いまいクリニック,いまいクリニック,各務原市小佐野町６丁目８６番１号,False,True,False,16-63列CT,,令和 4年11月 1日,CT確認・MRI未確認
21,0502859,無床診療所,東海内科・内視鏡クリニック 岐阜各務原院,東海内科・内視鏡クリニック　岐阜各務原院,各務原市那加桐野町二丁目３５番,False,True,False,16-63列CT,,令和 6年 7月 1日,CT確認・MRI未確認
21,0502883,無床診療所,さくら胃腸科内科クリニック,さくら胃腸科内科クリニック,各務原市那加住吉町一丁目４８番地１,False,True,False,4-15列CT,,令和 6年 9月 1日,CT確認・MRI未確認
21,0502925,無床診療所,各務原まつおクリニック,各務原まつおクリニック,各務原市各務山の前町四丁目２８４番地,False,True,False,16-63列CT,,令和 7年 4月 1日,CT確認・MRI未確認
21,0502966,無床診療所,あさの内科,あさの内科,各務原市蘇原希望町４丁目３１番地１,False,True,False,16-63列CT,,令和 8年 1月 1日,CT確認・MRI未確認
21,0601057,無床診療所,北田内科クリニック,北田内科クリニック,羽島郡岐南町下印食２－４５,False,True,False,16-63列CT,,平成31年 2月 1日,CT確認・MRI未確認
21,0601206,無床診療所,サンライズ健康管理クリニック,サンライズ健康管理クリニック,羽島郡岐南町野中４－１６,False,True,False,16-63列CT,,平成24年 4月 1日,CT確認・MRI未確認
21,0601370,無床診療所,けやきクリニック,けやきクリニック,羽島郡岐南町平島５－１１８,False,True,False,16-63列CT,,平成31年 4月 1日,CT確認・MRI未確認
21,0601438,無床診療所,ひらたクリニック,ひらたクリニック,羽島郡笠松町田代３２５番１,False,True,False,16-63列CT,,令和 5年 2月 1日,CT確認・MRI未確認
21,0601461,無床診療所,岐南ハートと呼吸のクリニック,岐南ハートと呼吸のクリニック,羽島郡岐南町伏屋４丁目６４番地,False,True,False,16-63列CT,,令和 6年 9月 1日,CT確認・MRI未確認
21,0701188,無床診療所,鹿野クリニック,鹿野クリニック,本巣郡北方町高屋白木２－７７,False,True,False,16-63列CT,,令和 8年 3月 1日,CT確認・MRI未確認
21,0701287,無床診療所,野口整形外科内科医院,野口整形外科内科医院,本巣郡北方町柱本５９２－３,False,True,False,16-63列CT,,令和 8年 9月 1日,CT確認・MRI未確認
21,0800360,無床診療所,宇野クリニック,宇野クリニック,山県市伊佐美東川２４３,False,True,False,16-63列CT,,令和 2年 1月 1日,CT確認・MRI未確認
21,0800402,無床診療所,あらいクリニック,あらいクリニック,山県市高富２１１９－１,False,True,False,16-63列CT,,平成28年 9月 1日,CT確認・MRI未確認
21,0800501,無床診療所,鳥沢クリニック,鳥沢クリニック,山県市高木１０１６番地１,False,True,False,16-63列CT,,令和 5年 5月 1日,CT確認・MRI未確認
21,1001208,無床診療所,医療法人社団福寿会 石井医院,医療法人社団福寿会　石井医院,郡上市白鳥町白鳥４１５番地１,False,True,False,16-63列CT,,令和 4年 4月11日,CT確認・MRI未確認
21,1001257,無床診療所,医療法人新生会 八幡医院,医療法人新生会　八幡医院,郡上市八幡町桜町２７８番地,False,True,False,16-63列CT,,令和 8年 4月 1日,CT確認・MRI未確認
21,1101644,無床診療所,医療法人知真会 伊藤内科,医療法人知真会　伊藤内科,多治見市太平町３－１５,False,True,False,16-63列CT,,平成24年 5月 1日,CT確認・MRI未確認
21,1101842,無床診療所,はら内科クリニック,はら内科クリニック,多治見市大畑町西仲根３－７,False,True,False,16-63列CT,,平成30年 5月 1日,CT確認・MRI未確認
21,1200578,無床診療所,堀部医院,堀部医院,美濃加茂市蜂屋町下蜂屋３７２－１,False,True,False,16-63列CT,,令和 4年10月 1日,CT確認・MRI未確認
21,1200867,無床診療所,うえだクリニック,うえだクリニック,美濃加茂市下米田町小山１０４６－７,False,True,False,4-15列CT,,令和 4年 2月 1日,CT確認・MRI未確認
21,1200974,無床診療所,一般財団法人岐阜健康管理センター すこやかクリニック,一般財団法人岐阜健康管理センター　すこやかクリニック,美濃加茂市西町２丁目４３番地,False,True,True,16-63列CT,1.5-3T MRI,令和 5年 3月 1日,CT+MRI確認
21,1201006,無床診療所,西田醫院,西田醫院,美濃加茂市本郷町七丁目１３４番地１,False,True,False,4-15列CT,,令和 6年11月 1日,CT確認・MRI未確認
21,1300873,無床診療所,小林クリニック,小林クリニック,加茂郡坂祝町黒岩３８３－５,False,True,False,4-15列CT,,平成25年12月 1日,CT確認・MRI未確認
21,1300931,無床診療所,濃飛ファミリークリニック,濃飛ファミリークリニック,加茂郡川辺町西栃井１２２５－１,False,True,False,16-63列CT,,平成24年 7月 1日,CT確認・MRI未確認
21,1300964,無床診療所,カブチ山田クリニック,カブチ山田クリニック,加茂郡七宗町神渕１０２９０－１,False,True,False,16-63列CT,,令和元年10月 1日,CT確認・MRI未確認
21,1300972,無床診療所,和知すこやかクリニック,和知すこやかクリニック,加茂郡八百津町和知１０３２－５２,False,True,False,16-63列CT,,令和 4年10月 1日,CT確認・MRI未確認
21,1300980,無床診療所,医療法人知真会 さかほぎ内科クリニック,医療法人知真会　さかほぎ内科クリニック,加茂郡坂祝町黒岩３８６－１,False,True,False,16-63列CT,,平成24年12月 1日,CT確認・MRI未確認
21,1400673,無床診療所,アカシクリニック,アカシクリニック,可児郡御嵩町上恵土１２８５－１,False,True,False,16-63列CT,,平成29年 1月 1日,CT確認・MRI未確認
21,1501058,無床診療所,深谷医院,深谷医院,中津川市福岡１０６８,False,True,False,16-63列CT,,令和 8年 3月 1日,CT確認・MRI未確認
21,1501223,無床診療所,にしおクリニック,にしおクリニック,中津川市中津川９６４－２７４,False,True,True,16-63列CT,1.5-3T MRI,令和 4年10月 1日,CT+MRI確認
21,1501306,無床診療所,やまだ内科クリニック,やまだ内科クリニック,中津川市中津川字上金１１５０番地１,False,True,False,16-63列CT,,平成30年11月 1日,CT確認・MRI未確認
21,1600868,無床診療所,わだ内科外科クリニック,わだ内科外科クリニック,瑞浪市山田町字大坪６７１－１１,False,True,True,16-63列CT,1.5-3T MRI,平成24年 4月 1日,CT+MRI確認
21,1600975,無床診療所,東濃中央クリニック,東濃中央クリニック,瑞浪市松ケ瀬町一丁目１４番地１,False,True,False,16-63列CT,,令和 5年 1月 1日,CT確認・MRI未確認
21,1601031,無床診療所,うちむら内科外科クリニック,うちむら内科外科クリニック,瑞浪市一色町２丁目８４番地１,False,True,False,16-63列CT,,令和 8年 9月 1日,CT確認・MRI未確認
21,1700700,無床診療所,恵那ファミリークリニック,恵那ファミリークリニック,恵那市長島町正家三丁目９番地１２,False,True,False,16-63列CT,,平成25年12月 1日,CT確認・MRI未確認
21,1700726,無床診療所,医療法人恵雄会 井口ハートクリニック,医療法人恵雄会　井口ハートクリニック,恵那市大井町１０６４－１,False,True,False,4-15列CT,,平成24年 4月 1日,CT確認・MRI未確認
21,1700981,無床診療所,安部医院,安部医院,恵那市長島町中野１－２－４,False,True,False,16-63列CT,,平成25年 8月 1日,CT確認・MRI未確認
21,1800898,無床診療所,河合クリニック,河合クリニック,土岐市泉町久尻１１－６,False,True,False,16-63列CT,,令和元年 5月 1日,CT確認・MRI未確認
21,1801037,無床診療所,土岐内科クリニック,土岐内科クリニック,土岐市肥田浅野笠神町２－１２,False,True,False,16-63列CT,,平成29年 1月 1日,CT確認・MRI未確認
21,2102054,無床診療所,松岡内科クリニック,松岡内科クリニック,大垣市新田町２－１４,False,True,False,16-63列CT,,令和 5年 1月 1日,CT確認・MRI未確認
